res_id,name,url,address,city,locality,cuisines,timings,highlights,aggregate_rating,votes,average_cost_for_one
18625117,Namo Sandwich,https://www.zomato.com/indore/namo-sandwich-1-sudama-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"610, Narendra Tiwari Marg, Usha Nagar, Sudama Nagar, Indore",Indore,Sudama Nagar,Fast Food,12:30PM to 10:45PM (Mon-Sun),"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Table booking recommended', 'Digital Payments Accepted', 'Pure Veg']",4.3,860,250
1400096,Bake N Shake,https://www.zomato.com/indore/bake-n-shake-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 3 & 4, Giriraj Grande, Satya Sai Square, Vijay Nagar, Indore",Indore,"BCM Heights, Vijay Nagar","Cafe, Fast Food, Bakery",10 AM to 12 Midnight,"['Dinner', 'Mall Parking', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned']",4.2,683,250
1400382,Shree Gurukripa,https://www.zomato.com/indore/shree-gurukripa-sarwate-bus-stand?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"13, Choti Gwaltoli, Sarwate Bus Stand, Indore",Indore,Sarwate Bus Stand,North Indian,10 AM to 12 Midnight,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']",4.3,2030,175
1400056,Nafees Restaurant,https://www.zomato.com/indore/nafees-restaurant-old-palasia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"30-B, Apollo Avenue, Opposite Palasia Thana",Indore,Old Palasia,"North Indian, Mughlai",12:30 PM to 11 PM (Mon-Sun),"['Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Free Parking', 'Table Reservation Not Required', 'Indoor Seating', 'Air Conditioned']",4.3,2987,400
1400365,Hotel Guru Kripa,https://www.zomato.com/indore/hotel-guru-kripa-sarwate-bus-stand?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Mahatma Gandhi Road, Murai Mohalla, Chhawni, Sarwate Bus Stand, Indore",Indore,Sarwate Bus Stand,North Indian,9:30 AM to 12 Midnight,"['Dinner', 'Cash', 'Breakfast', 'Lunch', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']",4.3,3441,175
1402185,Shree Gurukripa,https://www.zomato.com/indore/shree-gurukripa-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Bombay Hospital, Vijay Nagar, Indore",Indore,Vijay Nagar,North Indian,10 AM to 12 Midnight,"['Lunch', 'Delivery', 'No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,1451,250
1401724,Hotel Guru Kripa Avenue,https://www.zomato.com/indore/hotel-guru-kripa-avenue-sarwate-bus-stand?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Madni, Sarwate Bus Stand, Indore",Indore,Sarwate Bus Stand,North Indian,10:30 AM to 12 Midnight,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,1354,175
1402163,Maa Ki Rasoi,https://www.zomato.com/indore/maa-ki-rasoi-sudama-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Gopur Square, Sudama Nagar, Indore",Indore,Sudama Nagar,"North Indian, South Indian",11am – 11:30pm (Mon-Sun),"['Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Wifi', 'Valet Parking Available', 'Table booking recommended', 'Wheelchair Accessible', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.1,541,225
1400208,Apna Sweets,https://www.zomato.com/indore/apna-sweets-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"P4, Ground Floor, Shagun Building, AB Road, Scheme 54, Vijay nagar Square Indore",Indore,Vijay Nagar,"Mithai, North Indian, South Indian, Beverages",9 AM to 11 PM,"['Credit Card', 'Takeaway Available', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Lunch', 'Air Conditioned', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",4.3,2619,200
1401685,Dutt Guru Kripa,https://www.zomato.com/indore/dutt-guru-kripa-south-tukoganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10, Shanti Mandapum, South Tukoganj, Indore",Indore,South Tukoganj,"North Indian, Fast Food",10 AM to 12 Midnight (Mon-Sun),"['Lunch', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",4.1,1261,225
